loudness,sub_bass,bass,low_mid,mid,high_mid,presence,brilliance,pulse
0.0013225628,0.00015699242,0.000115216375,0.0003374571,0.0004223784,0.0011826955,0.0016075162,0.0016453221,0.0
0.0010152033,0.00012522563,3.9213253e-05,0.00012378076,0.000307659,0.00089891575,0.0013018439,0.0012760123,0.0
0.0007998935,8.8041386e-05,3.9213253e-05,6.6678454e-05,0.00023814113,0.0006806461,0.0009637703,0.0009829253,0.0
0.00060212996,8.132039e-05,3.428892e-05,4.3662876e-05,0.00014811347,0.00055661175,0.0007388231,0.00070313126,0.0
0.00047188532,7.5755655e-05,3.428892e-05,4.3662876e-05,0.00012765182,0.00038307154,0.0006219991,0.0005098335,0.0
0.00035347827,5.8305992e-05,3.428892e-05,2.74905e-05,0.00010345968,0.00032733506,0.00041997578,0.00039865158,0.0
0.00028247075,5.0839688e-05,2.8238024e-05,2.4280005e-05,9.937461e-05,0.00027854176,0.00033244118,0.00033953317,0.0
0.00019021252,5.0839688e-05,2.3685412e-05,2.4280005e-05,6.874225e-05,0.00018322133,0.00025380583,0.00024692898,0.0
0.00014436083,4.9568494e-05,2.1793481e-05,2.4280005e-05,5.237581e-05,0.00013582538,0.00019143817,0.00017195781,0.0
0.00010768778,3.2053675e-05,1.1879239e-05,2.2543845e-05,3.317915e-05,0.00010193328,0.0001402593,0.00013005584,0.0
8.07061e-05,2.1719807e-05,9.996752e-06,1.6331656e-05,2.1117223e-05,8.095889e-05,0.00010859518,9.3451126e-05,0.0
6.4862325e-05,1.8684736e-05,5.535136e-06,1.4947369e-05,1.7128541e-05,5.468927e-05,8.21269e-05,7.944174e-05,0.0
4.7772766e-05,9.453318e-06,3.5876246e-06,6.0815146e-06,1.4288616e-05,4.423086e-05,6.425935e-05,5.3832893e-05,0.0
3.4617035e-05,7.475825e-06,3.4298532e-06,4.355539e-06,9.875219e-06,2.986458e-05,4.2843818e-05,4.6055924e-05,0.0
2.128238e-05,7.2644575e-06,2.653497e-06,3.5993846e-06,9.213423e-06,1.6171103e-05,2.3537421e-05,3.10119e-05,0.0
1.4217409e-05,3.4094592e-06,1.6545938e-06,2.0446466e-06,6.7572814e-06,1.2441909e-05,1.4007279e-05,2.1442871e-05,0.0
5.213938e-06,1.8696272e-06,4.3299337e-07,8.058142e-07,1.7270836e-06,3.647796e-06,3.7670663e-06,6.3043585e-06,0.0
