loudness,sub_bass,bass,low_mid,mid,high_mid,presence,brilliance,pulse
0.41329765,0.019008802,0.056949705,0.08303858,0.24250187,0.009338675,0.002038218,0.0009826804,0.0
0.37628955,0.017766457,0.05851214,0.08303858,0.23131101,0.009099082,0.0017675809,0.0009485462,0.0
0.15622494,0.017766457,0.057919197,0.0904684,0.08439139,0.009338675,0.0036592663,0.0013140083,0.0
0.15622494,0.022535497,0.057919197,0.0904684,0.08439139,0.010422293,0.004208164,0.0013140083,0.0
0.32400137,0.022535497,0.057919197,0.08188656,0.21376549,0.037773665,0.017353293,0.0033952703,1.0
0.32400137,0.015107332,0.05389919,0.08050647,0.21376549,0.037773665,0.017353293,0.0033952703,0.0
0.27968487,0.014419515,0.05372575,0.06771011,0.2018517,0.028425809,0.0071803853,0.0015798684,0.0
0.260498,0.0128723085,0.03762888,0.03867082,0.18516967,0.019364633,0.0030982029,0.0010726363,0.0
0.2442651,0.0128723085,0.03680253,0.03867082,0.18516967,0.019364633,0.0030982029,0.0010726363,0.0
0.18332864,0.0134911295,0.03680253,0.040610157,0.16613321,0.014698562,0.0027377098,0.0009677633,1.0
0.18332864,0.025501963,0.03680253,0.049675234,0.18880586,0.04523083,0.042495713,0.029087633,0.0
0.30552375,0.027646005,0.045335777,0.040610157,0.21762848,0.08905427,0.084323116,0.012443501,1.0
0.30552375,0.027646005,0.045335777,0.04177191,0.22088274,0.106700316,0.084323116,0.012562943,0.0
0.266926,0.0122011,0.035330743,0.04177191,0.21762848,0.08905427,0.048777882,0.012443501,0.0
0.24028178,0.010636725,0.03140978,0.053753886,0.16802914,0.057051137,0.019178122,0.0045924047,0.0
0.21395163,0.008487057,0.02720085,0.059432205,0.15646687,0.03554783,0.010857454,0.0034361642,0.0
0.20592204,0.008487057,0.03140978,0.06028986,0.14740822,0.029760417,0.009097149,0.0019799115,0.0
0.16197875,0.008856776,0.027832692,0.061905175,0.048020054,0.018318184,0.009097149,0.0034361642,0.0
0.16197875,0.00968244,0.032238446,0.07003644,0.048020054,0.018318184,0.015331957,0.009993766,1.0
0.2034877,0.011689229,0.02906515,0.07003644,0.13426678,0.03167416,0.015331957,0.009993766,0.0
0.2034877,0.011689229,0.03010941,0.07003644,0.13426678,0.03167416,0.008611565,0.0022594978,0.0
0.1773635,0.010481747,0.029073901,0.0690417,0.12294945,0.021945955,0.0046761762,0.0010928254,0.0
0.17178673,0.009773861,0.03010941,0.0690417,0.109865434,0.016658925,0.0033996552,0.00094119186,0.0
0.15746908,0.009773861,0.03483898,0.0690417,0.10446136,0.011274308,0.0033996552,0.00094119186,0.0
0.10549751,0.0092570055,0.03483898,0.0656651,0.06278627,0.0077920966,0.0031793162,0.0010035612,0.0
0.10549751,0.015824433,0.03483898,0.071550705,0.06278627,0.0077920966,0.004686205,0.003563633,0.0
0.32892418,0.015824433,0.02967809,0.055749413,0.24438262,0.017208733,0.0056873146,0.0010035612,1.0
0.40472493,0.015824433,0.0242117,0.056474335,0.24438262,0.017208733,0.0056873146,0.0009232421,0.0
0.40472493,0.008172546,0.0242117,0.056474335,0.23291832,0.009095085,0.0025785672,0.00076500094,0.0
0.38503787,0.008172546,0.0242117,0.06224105,0.21897756,0.0059059868,0.001335908,0.00076500094,0.0
0.3799414,0.008172546,0.017785428,0.06224105,0.20107913,0.0044790637,0.001335908,0.0007819159,0.0
0.36150643,0.012202804,0.01751614,0.04948704,0.18719298,0.0030737317,0.001335908,0.0007819159,0.0
0.36150643,0.016793704,0.01751614,0.04948704,0.18719298,0.0030737317,0.0014873978,0.00088492833,0.0
0.3420392,0.016793704,0.02365441,0.20304775,0.18077244,0.013825082,0.0057069603,0.0014095377,1.0
0.3076301,0.013397353,0.027866645,0.20304775,0.173678,0.013825082,0.008306563,0.0033566188,0.0
